year_month,intersection_id,source_observations,valid_observations,mean_15min_volume,median_15min_volume,total_volume_estimate,mean_detector_coverage,expected_full_month_observations,temporal_coverage,name_fa,gis_id
2018-11,1018,2879,2873.0,341.6146652739297,391.0,981458.933332,0.9912485791855203,2880,0.9975694444444444,سه راه نقشينه,1135.0
2018-11,1019,2879,2871.0,631.9465923601532,724.0,1814318.666666,0.9998606757227446,2880,0.996875,بعثت گلستان,1427.0
2018-11,1021,2879,2873.0,467.46884789418726,570.0,1343038.0,0.9999502760180996,2880,0.9975694444444444,شمال پل آذر,1021.0
2018-11,1028,2879,2845.0,436.41666080843584,559.0,1241605.4,0.9994727581722319,2880,0.9878472222222222,آتشگاه - حجازي,1396.0
2018-11,1029,2879,2813.0,572.7138794372556,738.0,1611044.142857,0.9994667614646285,2880,0.9767361111111111,قدس - آتشگاه,1180.0
2018-11,1031,2879,2867.0,649.9470801492851,707.0,1863398.278788,0.9942739284966864,2880,0.9954861111111111,شيخ صدوق سعادت آباد,1111.0
2018-11,1032,2879,2873.0,641.6752762453881,722.7,1843533.068653,0.903648484162896,2880,0.9975694444444444,چهارراه فرايبورگ,1114.0
2018-11,1033,2879,2871.0,381.22613104214554,455.0,1094500.222222,0.9997561825148032,2880,0.996875,سجاد سپه سالار,1105.0
2018-11,1034,2879,2873.0,537.8884247984685,663.0,1545353.444446,0.998259658893143,2880,0.9975694444444444,چهارراه آپادانا,1110.0
2018-11,1035,2879,2849.0,590.4126009122499,684.2,1682085.499999,0.9744089090909092,2880,0.9892361111111111,چهارراه آبشار,1115.0
2018-11,1036,2879,2873.0,905.6505356387053,1025.0,2601933.98889,0.9991456515837105,2880,0.9975694444444444,ميدان بزرگمهر,1067.0
2018-11,1037,2879,2653.0,419.40840557859025,521.0,1112690.5,0.9997601345646437,2880,0.9211805555555556,,
2018-11,1038,2879,2873.0,610.5374173289244,756.0,1754073.999986,0.9275516655064393,2880,0.9975694444444444,,
2018-11,1039,2879,2869.0,573.5635455259672,706.0,1645553.812114,0.9972987194144302,2880,0.9961805555555555,جي پروين,1188.0
2018-11,1040,2879,2868.0,582.847280334728,731.0,1671606.0,1.0,2880,0.9958333333333333,,
2018-11,1042,2879,2874.0,353.24057063326376,440.0,1015213.4,0.9999420086986778,2880,0.9979166666666667,كمال ابن سينا,1048.0
2018-11,1043,2879,2863.0,1393.6819366451275,1754.0,3990111.384615,0.9998253569682152,2880,0.9940972222222222,,
2018-11,1044,2879,2872.0,503.433147632312,596.0,1445860.0,1.0,2880,0.9972222222222222,ميدان قدس,1140.0
2018-11,1047,2879,2873.0,510.5231465367212,632.0,1466733.0,1.0,2880,0.9975694444444444,شمال فردوسي,1047.0
2018-11,1048,2879,2873.0,488.7747998607727,619.0,1404250.0,1.0,2880,0.9975694444444444,باغ گلدسته كمال اسماعيل,1458.0
2018-11,1051,2879,2866.0,360.7247034193999,451.0,1033837.0,1.0,2880,0.9951388888888889,چهار راه نقاشي,1055.0
2018-11,1053,2879,2869.0,325.8536075287557,403.0,934874.0,1.0,2880,0.9961805555555555,هشت بهشت نشاط,1053.0
2018-11,1054,2879,2827.0,449.64955278174745,571.0,1271159.285714,0.9998231340643792,2880,0.9815972222222222,هشت بهشت گلزار,1051.0
2018-11,1057,2879,2873.0,599.8820048729551,743.0,1723461.0,1.0,2880,0.9975694444444444,صغير وليعصر,1050.0
2018-11,1059,2879,2855.0,324.2661996497373,388.0,925780.0,1.0,2880,0.9913194444444444,پل تمدن,
2018-11,1065,2879,2869.0,452.96068814604394,558.0,1299544.214291,0.7780878250261416,2880,0.9961805555555555,,
2018-11,1066,2879,2873.0,553.7367971395753,655.0,1590885.818182,0.9997679547511312,2880,0.9975694444444444,حمزه هشت بهشت,
2018-11,1067,2879,2871.0,834.4478114475793,858.0,2395699.666666,0.9949494949494949,2880,0.996875,,
2018-11,1068,2879,2873.0,594.5355278224853,742.0,1708100.571434,0.9957796728158719,2880,0.9975694444444444,جي صيادشيرازي,1213.0
2018-11,1069,2879,2870.0,674.9798296557491,794.0,1937192.111112,0.9986759581881532,2880,0.9965277777777778,ميدان احمد آباد,1215.0
2018-11,1070,2879,2865.0,667.9401977895287,825.0,1913648.666667,0.9998952879581151,2880,0.9947916666666666,,
2018-11,1071,2879,2865.0,643.1501637172775,807.0,1842625.21905,0.9993019197207679,2880,0.9947916666666666,میدان 25 آبان,1287.0
2018-11,1072,2879,2791.0,1009.4682909351487,1190.0,2817426.0,1.0,2880,0.9690972222222223,,
2018-11,1074,2879,2873.0,627.429118392969,758.0,1802603.857143,0.9998259658893143,2880,0.9975694444444444,,
2018-11,1075,2879,2701.0,927.1466123657905,1169.0,2504223.0,0.999925953350611,2880,0.9378472222222223,حكيم عبدالرزاق,1045.0
2018-11,1077,2879,2870.0,484.09744483135887,614.0,1389359.666666,0.9990853658536586,2880,0.9965277777777778,5 رمضان مسجد سيد,1018.0
2018-11,1078,2879,2471.0,474.8583569405099,587.0,1173375.0,1.0,2880,0.8579861111111111,چهارراه وفايي,1017.0
2018-11,1079,2879,2873.0,480.81894651340065,611.0,1381392.833333,0.9999005520361991,2880,0.9975694444444444,طيب - مسجد سيد,1022.0
2018-11,1080,2879,2873.0,611.8683867037939,760.0,1757897.875,0.9989557963800906,2880,0.9975694444444444,توحيد دانشگاه,1089.0
