intersection_id,weekday,hour,volume_sum,observations,mean_volume
1065,5,2,22818.410711,232,98.35521858189655
1065,5,3,11036.857145,232,47.57266010775862
1065,5,4,7902.785717,232,34.0637315387931
1065,5,5,12799.696433000001,232,55.17110531465518
1065,5,6,49272.803568,228,216.10878757894739
1065,5,7,113749.089284,231,492.42029993073595
1065,5,8,128534.928575,231,556.4282622294372
1065,5,9,140258.214291,232,604.5612684956897
1065,5,10,142384.846428,231,616.3846165714285
1065,5,11,141043.324995,232,607.9453663577586
1065,5,12,138498.778572,228,607.4507832105263
1065,5,13,141388.267858,236,599.1028299067797
1065,5,14,143753.192867,236,609.1236985889831
1065,5,15,132884.910718,236,563.0716555847457
1065,5,16,139214.285713,235,592.4012157999999
1065,5,17,145915.035715,235,620.9150455957447
1065,5,18,144371.714285,236,611.7445520550847
1065,5,19,139367.089284,234,595.5858516410256
1065,5,20,135505.571428,232,584.0757389137931
1065,5,21,136856.107139,232,589.8970135301724
1065,5,22,131688.571426,232,567.6231526982759
1065,5,23,106647.571432,232,459.6878078965517
1065,6,0,74201.142866,227,326.8772813480176
1065,6,1,41463.999993,232,178.72413790086205
1065,6,2,19360.0,231,83.80952380952381
1065,6,3,9774.571423,232,42.131773374999995
1065,6,4,7358.660711,232,31.71836513362069
1065,6,5,12810.821436,232,55.2190579137931
1065,6,6,49254.285714,232,212.30295566379309
1065,6,7,112399.196425,232,484.47929493534485
1065,6,8,130217.500001,232,561.2823275905172
1065,6,9,140760.699997,232,606.7271551594827
1065,6,10,144443.982139,232,622.6033712887931
1065,6,11,146721.589286,232,632.4206434741379
1065,6,12,148253.267856,232,639.022706275862
1065,6,13,145850.642862,232,628.6665640603449
1065,6,14,143566.553574,233,616.1654659828325
1065,6,15,133496.803569,229,582.9554741004367
1065,6,16,138070.285711,229,602.9270118384279
1065,6,17,143546.017858,231,621.4113327186147
1065,6,18,141872.303572,232,611.5185498793104
1065,6,19,140849.946427,232,607.1118380474137
1065,6,20,138005.839291,232,594.8527555646552
1065,6,21,138009.446427,232,594.8683035646551
1065,6,22,132012.749999,232,569.0204741336206
1065,6,23,108624.285712,232,468.2081280689655
1066,0,0,121346.0,341,355.8533724340176
1066,0,1,76242.0,344,221.63372093023256
1066,0,2,46491.0,344,135.14825581395348
1066,0,3,35758.0,344,103.94767441860465
1066,0,4,27941.0,344,81.22383720930233
1066,0,5,34530.363637,344,100.37896406104652
1066,0,6,86737.030303,344,252.1425299505814
1066,0,7,215467.060606,344,626.3577343197675
1066,0,8,241913.0,341,709.4222873900293
1066,0,9,248889.0,344,723.5145348837209
1066,0,10,255012.454545,342,745.6504518859649
1066,0,11,257230.0,341,754.3401759530792
1066,0,12,263794.0,344,766.8430232558139
1066,0,13,256187.0,341,751.2815249266862
1066,0,14,240968.0,340,708.7294117647059
1066,0,15,217348.0,339,641.1445427728613
1066,0,16,235165.0,344,683.6191860465116
1066,0,17,257516.0,344,748.5930232558139
1066,0,18,259334.0,344,753.8779069767442
1066,0,19,260362.0,344,756.8662790697674
1066,0,20,257069.0,344,747.2936046511628
1066,0,21,239564.0,344,696.4069767441861
1066,0,22,211411.0,344,614.5668604651163
1066,0,23,170589.0,348,490.19827586206895
1066,1,0,126997.0,342,371.3362573099415
1066,1,1,81038.0,344,235.57558139534885
1066,1,2,48795.0,344,141.84593023255815
1066,1,3,35790.0,344,104.04069767441861
1066,1,4,31711.0,344,92.18313953488372
1066,1,5,38674.0,344,112.42441860465117
1066,1,6,87586.4,344,254.61162790697674
1066,1,7,210857.272727,344,612.9571881598837
1066,1,8,233619.0,344,679.125
1066,1,9,238763.090909,335,712.7256445044776
1066,1,10,243672.636364,332,733.9537239879518
1066,1,11,250701.181819,335,748.3617367731343
1066,1,12,253950.0,333,762.6126126126126
1066,1,13,247560.0,333,743.4234234234234
1066,1,14,233199.0,336,694.0446428571429
1066,1,15,211157.0,336,628.4434523809524
1066,1,16,225997.0,336,672.610119047619
1066,1,17,248010.0,335,740.3283582089553
1066,1,18,253828.0,336,755.4404761904761
1066,1,19,255290.0,336,759.7916666666666
1066,1,20,248026.0,336,738.172619047619
1066,1,21,234385.0,336,697.5744047619048
1066,1,22,205284.0,333,616.4684684684685
1066,1,23,164127.0,334,491.39820359281435
1066,2,0,123966.0,331,374.51963746223566
1066,2,1,79100.0,336,235.41666666666666
1066,2,2,49994.0,336,148.79166666666666
1066,2,3,36435.0,336,108.4375
1066,2,4,31751.0,336,94.49702380952381
1066,2,5,38074.636363,336,113.31737012797619
1066,2,6,89439.327272,336,266.18847402380953
1066,2,7,207904.781818,335,620.6112890089552
1066,2,8,233652.0,336,695.3928571428571
1066,2,9,243840.054545,336,725.7144480505953
1066,2,10,251895.8,336,749.6898809523809
1066,2,11,253718.6,334,759.6365269461078
1066,2,12,258750.0,335,772.3880597014926
1066,2,13,251416.0,334,752.7425149700599
1066,2,14,235486.0,333,707.1651651651651
1066,2,15,218216.0,336,649.452380952381
1066,2,16,233032.0,335,695.6179104477612
1066,2,17,249808.33333300002,333,750.1751751741742
1066,2,18,254664.0,336,757.9285714285714
1066,2,19,255274.0,336,759.7440476190476
1066,2,20,250038.0,337,741.9525222551929
1066,2,21,236928.0,336,705.1428571428571
1066,2,22,212100.0,336,631.25
1066,2,23,172490.0,336,513.3630952380952
1066,3,0,134505.0,338,397.9437869822485
1066,3,1,89293.0,340,262.6264705882353
1066,3,2,54729.0,340,160.96764705882353
1066,3,3,38143.0,341,111.85630498533725
1066,3,4,31912.0,340,93.85882352941177
1066,3,5,41903.454546,340,123.24545454705883
1066,3,6,84075.303031,339,248.0097434542773
1066,3,7,178576.272727,339,526.7736658613569
1066,3,8,219590.0,340,645.8529411764706
1066,3,9,245050.0,340,720.7352941176471
1066,3,10,258375.0,340,759.9264705882352
1066,3,11,259557.0,335,774.7970149253731
1066,3,12,262740.0,339,775.0442477876106
1066,3,13,253971.0,334,760.3922155688623
1066,3,14,239945.0,336,714.1220238095239
1066,3,15,205292.0,340,603.8
1066,3,16,213508.0,340,627.964705882353
1066,3,17,236178.0,340,694.6411764705882
1066,3,18,250030.0,340,735.3823529411765
1066,3,19,256950.0,340,755.7352941176471
1066,3,20,254146.0,340,747.4882352941177
1066,3,21,237548.0,340,698.6705882352941
1066,3,22,213363.0,340,627.5382352941176
1066,3,23,184075.0,340,541.3970588235294
1066,4,0,154583.0,336,460.0684523809524
1066,4,1,113784.0,340,334.6588235294118
1066,4,2,75461.0,340,221.94411764705882
1066,4,3,50874.0,340,149.62941176470588
1066,4,4,39427.0,340,115.96176470588236
1066,4,5,40453.0,337,120.03857566765579
1066,4,6,62333.0,341,182.79472140762462
1066,4,7,101179.0,340,297.58529411764704
1066,4,8,128095.0,340,376.75
1066,4,9,140887.0,340,414.3735294117647
1066,4,10,176436.0,340,518.9294117647058
1066,4,11,208168.0,340,612.2588235294118
1066,4,12,216568.0,335,646.4716417910448
1066,4,13,212257.0,338,627.9792899408284
1066,4,14,185206.0,340,544.7235294117647
1066,4,15,156363.0,340,459.8911764705882
1066,4,16,165795.0,340,487.63235294117646
1066,4,17,190398.0,340,559.9941176470588
1066,4,18,217373.0,339,641.2182890855457
1066,4,19,237155.0,340,697.5147058823529
1066,4,20,233673.333333,339,689.301868238938
1066,4,21,215209.0,338,636.7130177514792
1066,4,22,200603.0,340,590.0088235294118
1066,4,23,176804.0,340,520.0117647058823
1066,5,0,140666.0,337,417.406528189911
1066,5,1,88664.0,340,260.77647058823527
1066,5,2,50693.0,337,150.42433234421364
1066,5,3,32794.0,339,96.73746312684366
1066,5,4,27756.0,340,81.63529411764706
1066,5,5,33523.636363,340,98.59893047941176
1066,5,6,84502.090909,336,251.49431818154764
1066,5,7,214453.636364,339,632.6065969439528
1066,5,8,233769.0,336,695.7410714285714
1066,5,9,246456.0,339,727.0088495575221
1066,5,10,253070.0,338,748.7278106508876
1066,5,11,258121.0,340,759.1794117647058
1066,5,12,259775.0,338,768.5650887573964
1066,5,13,251800.0,335,751.6417910447761
1066,5,14,236850.0,336,704.9107142857143
1066,5,15,216667.0,340,637.2558823529412
1066,5,16,232619.0,340,684.1735294117647
1066,5,17,255116.0,340,750.3411764705883
1066,5,18,260412.909091,340,765.9203208558823
1066,5,19,259603.0,340,763.5382352941176
1066,5,20,252032.0,340,741.2705882352941
1066,5,21,234020.0,340,688.2941176470588
1066,5,22,204940.0,340,602.7647058823529
1066,5,23,160303.0,340,471.4794117647059
1066,6,0,113327.0,329,344.45896656534956
1066,6,1,72798.0,340,214.11176470588236
1066,6,2,44219.0,340,130.05588235294118
1066,6,3,32855.0,340,96.63235294117646
1066,6,4,28263.0,340,83.12647058823529
1066,6,5,36847.181819,340,108.3740641735294
1066,6,6,85988.2,340,252.9064705882353
1066,6,7,207904.272727,340,611.4831550794117
1066,6,8,232443.363636,336,691.7957251071429
1066,6,9,243806.727273,338,721.3216783224852
1066,6,10,253245.0,337,751.4688427299703
1066,6,11,258077.0,340,759.05
1066,6,12,263538.0,344,766.0988372093024
1066,6,13,256525.0,340,754.4852941176471
1066,6,14,237180.0,339,699.6460176991151
1066,6,15,212558.0,340,625.1705882352941
1066,6,16,230133.0,340,676.8617647058824
1066,6,17,253689.0,340,746.1441176470588
1066,6,18,257114.0,336,765.2202380952381
1066,6,19,260483.0,340,766.1264705882353
1066,6,20,252799.0,340,743.5264705882353
1066,6,21,235376.0,340,692.2823529411764
1066,6,22,206757.0,340,608.1088235294118
1066,6,23,164415.0,339,485.0
1067,0,0,165695.333333,233,711.1387696695278
1067,0,1,154126.888891,236,653.0800376737288
1067,0,2,148795.777779,236,630.4905838093221
1067,0,3,155450.777777,235,661.4926713914894
1067,0,4,180580.0,234,771.7094017094017
1067,0,5,169898.666666,236,719.9096045169491
1067,0,6,170386.305556,236,721.975871
1067,0,7,209522.000001,236,887.80508475
1067,0,8,225028.66666699998,236,953.5112994364406
1067,0,9,220021.222221,236,932.2933144957627
1067,0,10,217066.11111,236,919.7716572457628
1067,0,11,217888.44444300001,236,923.2561205211865
1067,0,12,214390.888888,236,908.4359698644067
1067,0,13,223103.777779,236,945.354990588983
1067,0,14,227508.444445,236,964.0188323940678
1067,0,15,217204.000001,236,920.3559322076271
1067,0,16,211247.222223,235,898.9243498851064
1067,0,17,200842.666666,232,865.7011494224138
1067,0,18,197947.777778,232,853.2231800775861
1067,0,19,192059.666666,232,827.8433908017241
1067,0,20,196955.222223,232,848.9449233749999
1067,0,21,207073.000001,231,896.4199134242425
1067,0,22,209479.555555,231,906.8379028354979
1067,0,23,192540.111111,236,815.8479284364407
1067,1,0,164199.333334,230,713.9101449304347
1067,1,1,141386.0,232,609.4224137931035
1067,1,2,136208.44444300001,232,587.1053639784484
1067,1,3,139487.333335,230,606.4666666739131
1067,1,4,160157.611113,230,696.3374396217391
1067,1,5,157566.444444,232,679.1657088103448
1067,1,6,164779.888889,232,710.258141762931
1067,1,7,203176.11111,232,875.759099612069
1067,1,8,222616.111111,236,943.2886064025424
1067,1,9,214802.33333300002,233,921.8984263218885
1067,1,10,211767.888891,232,912.7926245301725
1067,1,11,210741.666668,232,908.3692528793104
1067,1,12,210411.0,232,906.9439655172414
1067,1,13,212285.999999,231,918.987012982684
1067,1,14,224405.111113,235,954.9153664382978
1067,1,15,212522.333334,236,900.5183615847458
1067,1,16,211261.222222,236,895.1746704322035
1067,1,17,199803.555553,236,846.6252353940679
1067,1,18,194502.555556,236,824.163371
1067,1,19,194849.111112,236,825.6318267457627
1067,1,20,202191.666668,236,856.7443502881356
1067,1,21,210635.88889,236,892.5249529237288
1067,1,22,208728.000001,233,895.8283261845494
1067,1,23,187214.888889,234,800.0636277307692
1067,2,0,160247.222222,232,690.7207854396552
1067,2,1,144638.222222,232,623.4406130258621
1067,2,2,141912.888888,231,614.3415103376623
1067,2,3,154370.444446,232,665.3898467500001
1067,2,4,176185.888889,230,766.0256038652174
1067,2,5,168639.333335,232,726.8936781681034
1067,2,6,170081.777777,232,733.1111111077587
1067,2,7,205954.111113,232,887.7332375560344
1067,2,8,218648.222222,232,942.4492337155173
1067,2,9,213724.000001,231,925.2121212164502
1067,2,10,214286.555556,232,923.648946362069
1067,2,11,209728.777777,232,904.003352487069
1067,2,12,207809.555556,232,895.7308429137931
1067,2,13,213721.111111,232,921.2116858232758
1067,2,14,220471.444444,232,950.3079501896551
1067,2,15,210354.027777,232,906.6983955905173
1067,2,16,206207.555555,231,892.6734006709956
1067,2,17,195857.777778,229,855.2741387685589
1067,2,18,191924.444444,232,827.2605363965517
1067,2,19,189623.55555699999,232,817.3429118836207
1067,2,20,197991.88889,233,849.7505960944206
1067,2,21,210191.444444,232,905.997605362069
1067,2,22,210739.777778,232,908.3611111120689
1067,2,23,195634.333335,232,843.2514367887932
1067,3,0,170073.0,234,726.8076923076923
1067,3,1,148999.555556,236,631.3540489661017
1067,3,2,138809.888889,236,588.1774952923729
1067,3,3,144515.888889,237,609.7716830759493
1067,3,4,165155.555551,236,699.8116760635593
1067,3,5,160384.999999,236,679.5974576228813
1067,3,6,163239.666667,236,691.6935028262712
1067,3,7,203920.22222300002,236,864.0687382330509
