source,target,profile_correlation,profile_distance
1059,1074,0.9902289727668756,0.009771027233124396
1059,1501,0.9844467865235423,0.015553213476457661
1059,1502,0.9787358852553886,0.02126411474461143
1064,1084,0.9972126812789612,0.0027873187210387673
1064,1092,0.9970473252102287,0.002952674789771348
1064,1071,0.9963832879417224,0.003616712058277627
1064,1080,0.9958680239177946,0.004131976082205391
1065,1071,0.9957663085082123,0.00423369149178765
1065,1085,0.9946723943223811,0.0053276056776189185
1065,1088,0.9908523397059255,0.009147660294074544
1066,1086,0.9980615267709093,0.001938473229090687
1066,1081,0.9971237136869132,0.0028762863130867844
1066,1069,0.9910226941831819,0.008977305816818104
1066,1077,0.9961260793293367,0.003873920670663278
1066,1095,0.9963175774123111,0.003682422587688916
1066,1113,0.990151227905542,0.009848772094458003
1067,1503,0.9199417059149665,0.08005829408503351
1067,1501,0.9070386450778294,0.09296135492217061
1067,1068,0.9060076909027751,0.09399230909722489
1068,1078,0.9931148701423866,0.006885129857613359
1068,1079,0.9921793326418481,0.0078206673581519
1068,1077,0.9917535921049914,0.008246407895008634
1069,1075,0.9923877024977679,0.007612297502232135
1070,1072,0.9931723572733052,0.0068276427266947826
1070,1088,0.991449648287146,0.00855035171285401
1071,1092,0.997108222753257,0.0028917772467430547
1071,1072,0.990534876734632,0.00946512326536797
1071,1085,0.9904129911059429,0.009587008894057059
1072,1088,0.99525715792124,0.004742842078759968
1072,1074,0.9901114200272825,0.009888579972717526
1075,1078,0.9916922706341202,0.008307729365879757
1075,1077,0.9914917293084242,0.008508270691575781
1077,1079,0.9978576433265871,0.002142356673412893
1077,1078,0.9974851205610622,0.0025148794389378004
1078,1079,0.9966150246240658,0.003384975375934185
1080,1081,0.9958065961154728,0.004193403884527158
1080,1092,0.9957684924022536,0.004231507597746376
1081,1086,0.997201771110969,0.002798228889031029
1081,1084,0.9961147950385751,0.0038852049614248596
1081,1095,0.9950638442358254,0.00493615576417461
1081,1113,0.990128608076059,0.009871391923941042
1082,1109,0.9966056531498565,0.0033943468501435037
1082,1119,0.9949009546119864,0.0050990453880136455
1082,1112,0.9943795929726882,0.005620407027311813
1082,1090,0.993748745677469,0.006251254322531041
1083,1112,0.9899628567221954,0.010037143277804583
1083,1094,0.9891540811925655,0.010845918807434463
1084,1086,0.9974343217822724,0.002565678217727574
1084,1092,0.9965559474502491,0.0034440525497508867
1084,1113,0.9899150073517416,0.01008499264825835
1085,1088,0.9947635027450584,0.0052364972549415745
1086,1095,0.997830535075705,0.0021694649242950392
1086,1113,0.9907603041992289,0.009239695800771108
1090,1109,0.9919503074653491,0.008049692534650932
1090,1095,0.9891867883326773,0.010813211667322742
1092,1116,0.9963884873101834,0.0036115126898166316
1092,1117,0.9901938191402903,0.009806180859709746
1093,1119,0.9969782785916832,0.003021721408316802
1093,1112,0.996063836444649,0.00393616355535098
1093,1116,0.9951408478892869,0.004859152110713083
1093,1094,0.9911559534868841,0.008844046513115877
1093,1109,0.9922576453113924,0.007742354688607622
1094,1112,0.9957397925977597,0.0042602074022403125
1094,1119,0.9904893043177242,0.009510695682275805
1096,1115,0.9395737217424804,0.06042627825751956
1096,1502,0.9389380362883492,0.061061963711650846
1112,1119,0.9955006277238931,0.004499372276106861
1116,1117,0.9963452661575901,0.003654733842409885
1116,1119,0.9958769926545202,0.004123007345479768
1501,1504,0.9978281677629237,0.0021718322370762877
1501,1502,0.9960748286482686,0.003925171351731427
1501,1503,0.9914105673250292,0.00858943267497081
1502,1504,0.9944429612234782,0.0055570387765218054
1502,1503,0.9892801388784573,0.010719861121542662
1503,1504,0.9860783839573873,0.013921616042612661
