intersection_id,community,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,dtw_cluster,mean_volume,trusted_months,name_fa,gis_id
1035,4,0.1095890410958904,7.951032085713777,0.0517503805175038,0.14716056142525438,2,622.3505986720145,26,چهارراه آبشار,1115.0
1036,4,0.0958904109589041,6.967793305125765,0.2241248097412481,0.16131115447213373,2,775.9992928878514,26,ميدان بزرگمهر,1067.0
1037,2,0.0547945205479452,3.988545937374818,0.0,0.09017110641770175,2,426.7962649671387,12,,
1038,2,0.0958904109589041,6.974292441804661,0.07229832572298325,0.12488133918937257,2,615.2069862687774,14,,
1039,1,0.136986301369863,9.942495374467764,0.08599695585996955,0.24438117228957262,2,518.8384655791758,26,جي پروين,1188.0
1040,3,0.136986301369863,9.842980075799328,0.060882800608828,0.22077679436486342,2,591.8064932523631,14,,
1041,2,0.0684931506849315,4.972606377032579,0.07990867579908675,0.07921364836124549,2,469.04581669879013,11,پروين دشتستان,1203.0
1042,3,0.0684931506849315,4.968920346257567,0.001902587519025875,0.11834658617147428,2,349.4920939872588,26,كمال ابن سينا,1048.0
1043,3,0.1232876712328767,8.964847182967826,0.2176560121765601,0.2604423929058317,2,1416.2567590914216,20,,
1044,3,0.0547945205479452,3.9721367191078674,0.0,0.1287011159265381,2,483.62933187841526,26,ميدان قدس,1140.0
1047,3,0.0547945205479452,3.9542910128111366,0.000380517503805175,0.05486322979876354,2,533.0644212865561,26,شمال فردوسي,1047.0
1048,3,0.0821917808219178,5.951576157709151,0.03272450532724505,0.11156634853393714,2,488.1600983843207,26,باغ گلدسته كمال اسماعيل,1458.0
1051,2,0.1506849315068493,10.924335656406992,0.22907153729071536,0.17065152935078973,2,366.8021608794638,23,چهار راه نقاشي,1055.0
1053,3,0.0684931506849315,4.971991973849029,0.005707762557077625,0.11704077113952752,2,332.08640276105405,26,هشت بهشت نشاط,1053.0
1054,2,0.0547945205479452,3.98143527115964,0.00532724505327245,0.07928549913767644,2,455.9974427474988,13,هشت بهشت گلزار,1051.0
1057,1,0.0684931506849315,4.960840011950891,0.04794520547945205,0.05322736893256565,2,616.3208353051776,26,صغير وليعصر,1050.0
1058,2,0.0821917808219178,5.9510741295852405,0.00380517503805175,0.08218794187706023,2,375.10957181010696,22,پل سرهنگ,1192.0
1059,1,0.0958904109589041,6.928652220964591,0.07534246575342465,0.04241049799521739,2,331.06986724499535,13,پل تمدن,
1064,2,0.1095890410958904,7.97376950406565,0.1571537290715373,0.19223529333410644,2,372.63536269623046,12,صياد شيرازي علامه اميني,1064.0
1065,3,0.1232876712328767,8.9523558230266,0.09969558599695585,0.22499672915621238,2,441.75195469339644,4,,
1066,2,0.1232876712328767,8.955365407306992,0.20167427701674276,0.14604977563048088,2,538.3606905151962,19,حمزه هشت بهشت,
1067,1,0.0547945205479452,3.6359328076671513,0.0,0.054516342203975304,2,828.7377128346283,13,,
1068,1,0.0684931506849315,4.876281863760963,0.001902587519025875,0.11465061564975049,2,574.1853243548953,21,جي صيادشيرازي,1213.0
1069,1,0.0547945205479452,3.9718052998314803,0.0182648401826484,0.04942991814338473,2,617.693389492841,25,ميدان احمد آباد,1215.0
1070,3,0.0684931506849315,4.953204240152306,0.0030441400304414,0.08758122293714142,2,705.0921284080481,13,,
1071,3,0.0958904109589041,6.964019616917091,0.03120243531202435,0.2001590198841031,2,730.187525343655,20,میدان 25 آبان,1287.0
1072,3,0.0684931506849315,4.96015179130681,0.007229832572298325,0.09897694389677092,2,1038.9680022663701,13,,
1074,3,0.0547945205479452,3.9596301575977675,0.01445966514459665,0.059288556366535766,2,639.0639763147939,12,,
1075,1,0.0547945205479452,3.9721561973991077,0.0,0.06000862377272917,2,922.0660032460224,24,حكيم عبدالرزاق,1045.0
1077,1,0.1095890410958904,7.957751466720245,0.09779299847792998,0.15401657254841286,2,464.4433304192823,25,5 رمضان مسجد سيد,1018.0
1078,1,0.0958904109589041,6.956432448618827,0.008751902587519025,0.13905595314524297,2,483.60651026159974,21,چهارراه وفايي,1017.0
1079,1,0.0958904109589041,6.966960641006285,0.1080669710806697,0.16864800452955997,2,476.5630671830931,22,طيب - مسجد سيد,1022.0
1080,2,0.0547945205479452,3.9837579928438265,0.0,0.10918728799210993,2,571.2226060965087,20,توحيد دانشگاه,1089.0
1081,2,0.1232876712328767,8.959750585503977,0.02054794520547945,0.15019675800359628,2,441.2898113013389,24,سه راه حكيم نظامي (شهداي غزه),1078.0
1082,4,0.0821917808219178,5.951576523927922,0.12290715372907153,0.10728424323143888,2,470.93701910007934,26,توحيد شريعتي,1082.0
1083,4,0.0958904109589041,6.81228660702297,0.02968036529680365,0.09363330439390916,2,886.3907333061294,9,چهارراه امين (حكيم نظامي-شريعتي),1083.0
1084,2,0.0684931506849315,4.9772327529017995,0.032343987823439876,0.11289934806154368,2,553.3468373690963,23,ميدان ارتش,1084.0
1085,3,0.0821917808219178,5.89812158002924,0.04642313546423135,0.10436272351560413,2,477.3726394090666,14,سه راه سيمين,1095.0
1086,2,0.0821917808219178,5.978639555147554,0.03919330289193303,0.1074347001555323,2,480.1687727759436,24,وحيد رودكي,1087.0
1088,3,0.0684931506849315,4.909817497147347,0.005707762557077625,0.0853670644655747,2,643.826134675805,13,,
1090,4,0.0684931506849315,4.941795206798764,0.0,0.08376418873814295,2,450.32305491685497,24,چهار راه توحيد نظر,1090.0
1092,2,0.1232876712328767,8.9586682437594,0.13812785388127852,0.21370916279017113,2,731.4675177346555,14,پل وحيد,1091.0
1093,4,0.0958904109589041,6.959657223348437,0.0365296803652968,0.14066413134952344,2,604.1122305365659,24,جنوب فلزي,1093.0
1094,4,0.0958904109589041,6.8696541464934535,0.0106544901065449,0.11646009603464409,2,844.6318981255215,25,جنوب آذر,1094.0
1095,2,0.0684931506849315,4.974046900522014,0.001141552511415525,0.09311699747611625,2,519.605802481939,7,وحيد باغ درياچه,1096.0
1096,1,0.0547945205479452,3.770013110645675,0.0,0.022245702529900616,2,402.8990242808033,1,,
1109,4,0.0958904109589041,6.852778507978771,0.0487062404870624,0.11162679995093908,2,543.3761017126424,26,شيخ مفيد شيخ صدوق,1109.0
1112,4,0.0958904109589041,6.956093363238734,0.03919330289193303,0.13187056934653166,2,601.4727505810524,25,هزار جریب آزادی,1106.0
1113,2,0.0547945205479452,3.9609551475325717,0.0,0.07816640699229328,2,609.2744933767298,25,دفاع مقدس,1080.0
1115,1,0.0821917808219178,5.892467716906561,0.04528158295281583,0.04077061698553318,2,668.1468889207138,13,,
1116,4,0.0958904109589041,6.970587908552601,0.22640791476407912,0.1555532678286095,2,800.0990848080936,26,جنوب پل فردوسي,1116.0
1117,3,0.0821917808219178,5.945086371359832,0.0136986301369863,0.10101113908793087,2,436.10439048236026,26,هتل پل,1117.0
1119,4,0.1095890410958904,7.858907883755689,0.012557077625570776,0.1468486725623867,2,538.0360646315128,13,,
1501,1,0.0684931506849315,4.876798995337593,0.00380517503805175,0.025831902247558262,2,577.5229292250652,24,جي – اريسون,1467.0
1502,1,0.0821917808219178,5.875107938634712,0.00228310502283105,0.02489178218195083,2,577.14624821338,12,,
1503,1,0.0958904109589041,6.843485185528657,0.030821917808219176,0.03272981612329741,2,733.6954222638856,15,جي – شهيد رجائي,1466.0
1504,1,0.0547945205479452,3.9617268125062868,0.015220700152207,0.02065133581626162,2,574.1615561914899,25,جي – مسجد علي,1468.0
